x,y,z,faction
3.884185791015625,1.5375072956085205,-2.6734509468078613,Pacific Ocean
4.445768356323242,-0.8632526397705078,-2.00472354888916,Pacific Ocean
-1.1000218391418457,4.866251468658447,0.002551816403865814,Artic Ocean
4.158786296844482,2.23467755317688,1.535211205482483,Pacific Ocean
1.794423222541809,-2.782651424407959,3.706057548522949,Indian Ocean
-0.7043535113334656,1.9111862182617188,-4.51572322845459,Central America
-0.48573067784309387,-3.343790054321289,-3.646347999572754,Pacific Ocean
-4.011549949645996,1.9878116846084595,2.168475866317749,Africa
2.4589176177978516,-4.323660373687744,0.299948513507843,Pacific Ocean
3.0171802043914795,-3.9553942680358887,-0.22335350513458252,Pacific Ocean
4.824674606323242,0.4957243502140045,1.0818754434585571,Pacific Ocean
0.3786155581474304,2.6249423027038574,-4.192176342010498,North America
2.7810964584350586,3.8311874866485596,-1.5922616720199585,Pacific Ocean
-4.781129837036133,0.9270976185798645,0.9622779488563538,Africa
-1.7951829433441162,-3.003484010696411,-3.5351555347442627,South America
3.1490585803985596,2.7560529708862305,-2.6748850345611572,Pacific Ocean
-3.950260877609253,-2.732905864715576,1.2832374572753906,Atlantic Ocean
4.6519598960876465,-0.6714409589767456,-1.5752360820770264,Pacific Ocean
3.330310344696045,0.5479233860969543,3.6429357528686523,Pacific Ocean
-4.391951084136963,-0.2640073895454407,2.3205466270446777,Africa
-3.8634252548217773,2.6324830055236816,-1.6510910987854004,Atlantic Ocean
-0.3133455216884613,-3.839615821838379,-3.1558823585510254,Pacific Ocean
4.508403778076172,-1.7809686660766602,1.1895735263824463,Pacific Ocean
-4.75670051574707,-0.18268224596977234,-1.439963936805725,Atlantic Ocean
1.5141932964324951,-4.507723808288574,-1.5164271593093872,Pacific Ocean
0.13580536842346191,-4.719242572784424,-1.599377989768982,Pacific Ocean
-0.03382037580013275,3.5482332706451416,3.5046768188476562,Asia
4.65769100189209,1.2242422103881836,1.2880163192749023,Pacific Ocean
-2.364398956298828,-3.536219596862793,-2.5871284008026123,Atlantic Ocean
-0.4836809039115906,-1.2030000686645508,4.779706001281738,Indian Ocean
4.493628978729248,-0.21655559539794922,-2.0750732421875,Pacific Ocean
-3.7740612030029297,-1.5877587795257568,2.794037342071533,Africa
-2.0136771202087402,-4.224135398864746,1.7174241542816162,Indian Ocean
-0.5442019104957581,-3.7572927474975586,-3.2136361598968506,Pacific Ocean
-1.3991109132766724,-4.69287633895874,-0.9313721656799316,Antartic
4.342517375946045,-0.800744891166687,2.276251792907715,Pacific Ocean
-4.492507457733154,1.8336342573165894,1.13656485080719,Africa
3.1479852199554443,2.3144690990448,3.1136233806610107,Pacific Ocean
-1.5498409271240234,4.506182670593262,1.475492000579834,Europa
-1.9685953855514526,-4.474048614501953,0.9682531952857971,Antartic
2.1761229038238525,-1.8501914739608765,4.072531223297119,Oceania
3.0854759216308594,2.8408029079437256,2.6738121509552,Asia
3.3924803733825684,1.4612551927566528,-3.349048614501953,Pacific Ocean
0.31206968426704407,4.615233421325684,-1.8688242435455322,North America
4.416312217712402,-2.0997352600097656,-0.8373727798461914,Pacific Ocean
-4.367098331451416,-1.2651489973068237,1.9598731994628906,Africa
-2.5125603675842285,-3.6149075031280518,-2.3243587017059326,Atlantic Ocean
-4.338979721069336,-2.1813807487487793,1.155403971672058,Africa
-4.542974948883057,1.7608637809753418,0.993320107460022,Africa
4.237724781036377,-0.14097099006175995,2.601438045501709,Pacific Ocean
1.8566360473632812,-1.5759491920471191,4.316410064697266,Indian Ocean
4.064335823059082,-2.2404489517211914,-1.756738305091858,Pacific Ocean
4.442109107971191,2.248211145401001,0.1515614241361618,Pacific Ocean
4.7475810050964355,1.125413179397583,0.8928179144859314,Pacific Ocean
-4.169824123382568,-1.387171745300293,2.347559928894043,Africa
-4.076554298400879,-1.9951727390289307,2.0032577514648438,Africa
4.2907795906066895,1.3770973682403564,-2.062859535217285,Pacific Ocean
-3.7223546504974365,1.8074681758880615,2.727752208709717,Africa
-3.3047404289245605,-3.2835066318511963,1.7612384557724,Indian Ocean
-0.720887303352356,-4.783196449279785,1.2430323362350464,Antartic
4.102459907531738,-2.357337713241577,-1.5074957609176636,Pacific Ocean
-2.202454090118408,-0.6105773448944092,-4.401134967803955,South America
4.456230163574219,-1.8226594924926758,-1.2807738780975342,Pacific Ocean
-4.644766807556152,0.18991029262542725,1.7101939916610718,Africa
-4.359837532043457,-1.0535348653793335,2.131012201309204,Africa
-0.38558679819107056,4.3802809715271,-2.3383712768554688,North America
0.9816229343414307,-4.156750679016113,2.556668758392334,Indian Ocean
2.2563064098358154,1.8459800481796265,4.041281223297119,Pacific Ocean
1.0889378786087036,-1.2335057258605957,-4.6914753913879395,Pacific Ocean
4.372462749481201,-1.6697113513946533,1.653252363204956,Pacific Ocean
0.7473893761634827,2.3443658351898193,-4.314248561859131,North America
-3.3129801750183105,1.8265044689178467,-3.2477924823760986,Atlantic Ocean
1.8237171173095703,-4.097398281097412,-2.156492233276367,Pacific Ocean
