0,<
0,0
0,oe
0,V
0,38
0,6
0,Vr
0,481
0,9
0,"1"""
0,8
0,{e
0,e
0,80
0,4
0,K
0,05
0,10
0,po
0,05
0,95
0,JF
0,455
0,o1
0,11
0,4
0,o
0,o5
0,6
0,S
0,Ahe
0,"01f"""
0,4n<
0,01
0,40
0,0
0,Ericeira
0,planr
0,slong
0,Juineni
0,Sonh
0,barrel
0,deep
0,qualry
0,12m 
0,Ouf
0,which
0,EuRope
0,006y
0,WavC
0,producing
0,Jack
0,1
0,€rpetu
0,manin
0,One{
0,Gcefer
0,Che
0,ard
0,and
0,sweil
0,1of
0,Rockk
0,CoC
0,nghts 
0,hollows
0,qualiry
0,share
0,and
0,alwvays
0,good
0,White
0,Kand
0,extremely
0,Wavc
0,"""botrom"
0,and
0,harboue
0,omc
0,ugal
0,Wave?
0,rocky '
0,have
0,[owns
0,can
0,inside
0,the
0,Ericeira
0,Korte
0,rides
0,short
0,With
0,has
0,bay
0,reef
0,when
0,rivermouth
0,(A4m) .
0,classic
0,especially
0,shortage
0,1 2fr
0,ermouth
0,Numerous
0,Hawai'
0,Five
0,such
0,north
0,has
0,rideable
0,small
0,waves
0,Ericeira
0,with.
0,with
0,he
0,and
0,"Beach,"
0,centre
0,than'<
0,(19mn1)
0,classy
0,play
0,Aclass
0,surfing
0,ncadlands
0,"Peniche,"
0,quite
0,Lourenço
0,Sunset
0,orld
0,the
0,point
0,eil
0,3okm
0,Porruguese
0,conudered
0,doesn €
0,concentration
0,prorection
0,nfo
0,nght
0,Mere
0,Sa6
0,hkened
0,ells
0,stotiny
0,heavy
0,"Lsbon ,"
0,breaks
0,"Lasbon,"
0,wind
0,been
0,avour
0,(0
0,and
0,quahty
0,Mphcal
0,(6a9
0,piFtly
0,Coicne
0,end
0,10und
0,988(eni
0,"Gaci"""
0,elene 
0,1161t /
0,Wanio
0,ohnak
1,0
1,e
1,88
1,Vr
1,68
1,9
1,2~
1,2
1,e
1,80
1,C
1,4
1,05
1,O
1,90
1,05
1,95
1,V
1,05
1,Ahe
1,11)
1,4
1,01
1,05
1,1
1,4
1,Ahe
1,>
1,40e
1,51
1,40
1,Kahen
1,Ericeira
1,plan
1,neni
1,Sonh
1,dcep
1,quahty
1,12o) `
1,Out
1,chich
1,EUROPE
1,(
